Law ID,State,ST,Year,Suicides,Homicides,len_text,sentiment_score,Income,Pop,DEM_Perc,GOP_Perc,HuntLic,UniqueID,GunsAmmo,avg_own_est,SuicidesB3,HomicidesB3,SuicidesA3,HomicidesA3
CA1004,California,CA,2012,3.99,3.5,729,0.599289477,57020,37944551,0.607,0.393,0.150334464,California_2012,-1.385960469,0.272007566,4.033333333,3.546666667,3.88,3.336666667
CA1005,California,CA,1991,6.91,8.74,528,0.576688588,33664,30414114,0.482,0.518,0.154076373,California_1991,-0.019359884,0.35251906,0,0,6.936666667,9.24
CA1011,California,CA,1992,6.89,9.21,1371,0.557260215,34903,30875920,0.585,0.415,0.151101858,California_1992,-0.102750319,0.441523591,6.91,8.74,6.79,8.873333333
CA1012,California,CA,2014,3.9,3.14,626,0.595157743,60487,38586706,0.607,0.393,0.146260652,California_2014,-1.477369406,0.187158672,4.003333333,3.406666667,3.833333333,3.62
CA1015,California,CA,2001,4.45,4.4,620,0.522729814,47262,34479458,0.562,0.438,0.156527749,California_2001,-1.124564832,0.214033918,5.013333333,4.27,4.313333333,4.88
CA1023,California,CA,2000,4.67,4.21,1576,0.594591439,46816,33987977,0.562,0.438,0.157698424,California_2000,-1.125090262,0.28960494,5.356666667,4.823333333,4.463333333,4.726666667
CA1025,California,CA,2012,3.99,3.5,724,0.572487533,57020,37944551,0.607,0.393,0.150334464,California_2012,-1.385960469,0.272007566,4.033333333,3.546666667,3.88,3.336666667
CA1027,California,CA,2013,3.96,3.35,175,0.604423165,60794,38253768,0.607,0.393,0.145863724,California_2013,-1.434835333,0.235708797,4.006666667,3.446666667,3.846666667,3.45
CA1032,California,CA,2014,3.9,3.14,268,0.519071221,60487,38586706,0.607,0.393,0.146260652,California_2014,-1.477369406,0.187158672,4.003333333,3.406666667,3.833333333,3.62
CA1034,California,CA,2014,3.9,3.14,1875,0.584729433,60487,38586706,0.607,0.393,0.146260652,California_2014,-1.477369406,0.187158672,4.003333333,3.406666667,3.833333333,3.62
CA1037,California,CA,1997,5.7,5.87,299,0.546876013,39694,32217708,0.572,0.428,0.162568085,California_1997,-0.844210401,0.335262937,6.32,7.843333333,5.013333333,4.27
CA1040,California,CA,1991,6.91,8.74,251,0.632464767,33664,30414114,0.482,0.518,0.154076373,California_1991,-0.019359884,0.35251906,0,0,6.936666667,9.24
CA1047,California,CA,1997,5.7,5.87,299,0.546876013,39694,32217708,0.572,0.428,0.162568085,California_1997,-0.844210401,0.335262937,6.32,7.843333333,5.013333333,4.27
CA1049,California,CA,2019,,,109,0.565469205,,,0.651,0.349,,California_2019,,,3.873333333,3.52,0,0
