State,index,Pop,Year
Washington,47,5756361,1999
West Virginia,48,1806928,1999
Wisconsin,49,5250446,1999
Wyoming,50,479602,1999
Alabama,0,4452173,2000
Alaska,1,627963,2000
Arizona,2,5160586,2000
Arkansas,3,2678588,2000
California,4,33987977,2000
Colorado,5,4326921,2000
Connecticut,6,3411777,2000
Delaware,7,786373,2000
District of Columbia,8,572046,2000
Florida,9,16047515,2000
Georgia,10,8227303,2000
Hawaii,11,1213519,2000
Idaho,12,1299430,2000
Illinois,13,12434161,2000
Indiana,14,6091866,2000
Iowa,15,2929067,2000
Kansas,16,2693681,2000
Kentucky,17,4049021,2000
Louisiana,18,4471885,2000
Maine,19,1277072,2000
Maryland,20,5311034,2000
Massachusetts,21,6361104,2000
Michigan,22,9952450,2000
Minnesota,23,4933692,2000
Mississippi,24,2848353,2000
Missouri,25,5607285,2000
Montana,26,903773,2000
Nebraska,27,1713820,2000
Nevada,28,2018741,2000
New Hampshire,29,1239882,2000
New Jersey,30,8430621,2000
New Mexico,31,1821204,2000
New York,32,19001780,2000
North Carolina,33,8081614,2000
North Dakota,34,642023,2000
Ohio,35,11363543,2000
Oklahoma,36,3454365,2000
Oregon,37,3429708,2000
Pennsylvania,38,12284173,2000
Rhode Island,39,1050268,2000
South Carolina,40,4024223,2000
South Dakota,41,755844,2000
Tennessee,42,5703719,2000
Texas,43,20944499,2000
Utah,44,2244502,2000
Vermont,45,609618,2000
Virginia,46,7105817,2000
Washington,47,5910512,2000
West Virginia,48,1807021,2000
Wisconsin,49,5373999,2000
Wyoming,50,494300,2000
Alabama,0,4467634,2001
Alaska,1,633714,2001
Arizona,2,5273477,2001
Arkansas,3,2691571,2001
California,4,34479458,2001
Colorado,5,4425687,2001
Connecticut,6,3432835,2001
Delaware,7,795699,2001
District of Columbia,8,574504,2001
Florida,9,16356966,2001
Georgia,10,8377038,2001
Hawaii,11,1225948,2001
Idaho,12,1319962,2001
Illinois,13,12488445,2001
Indiana,14,6127760,2001
Iowa,15,2931997,2001
Kansas,16,2702162,2001
Kentucky,17,4068132,2001
Louisiana,18,4477875,2001
Maine,19,1285692,2001
Maryland,20,5374691,2001
Massachusetts,21,6397634,2001
Michigan,22,9991120,2001
Minnesota,23,4982796,2001
Mississippi,24,2852994,2001
Missouri,25,5641142,2001
Montana,26,906961,2001
Nebraska,27,1719836,2001
Nevada,28,2098399,2001
New Hampshire,29,1255517,2001
New Jersey,30,8492671,2001
New Mexico,31,1831690,2001
New York,32,19082838,2001
North Carolina,33,8210121,2001
North Dakota,34,639062,2001
Ohio,35,11387404,2001
Oklahoma,36,3467100,2001
Oregon,37,3467937,2001
Pennsylvania,38,12298970,2001
Rhode Island,39,1057142,2001
South Carolina,40,4064995,2001
South Dakota,41,757972,2001
Tennessee,42,5750789,2001
Texas,43,21319622,2001
Utah,44,2283715,2001
Vermont,45,612223,2001
Virginia,46,7198362,2001
Washington,47,5985722,2001
West Virginia,48,1801481,2001
Wisconsin,49,5406835,2001
Wyoming,50,494657,2001
Alabama,0,4480089,2002
Alaska,1,642337,2002
Arizona,2,5396255,2002
Arkansas,3,2705927,2002
California,4,34871843,2002
Colorado,5,4490406,2002
Connecticut,6,3458749,2002
Delaware,7,806169,2002
District of Columbia,8,573158,2002
Florida,9,16689369,2002
Georgia,10,8508256,2002
Hawaii,11,1239613,2002
Idaho,12,1340372,2002
Illinois,13,12525556,2002
Indiana,14,6155967,2002
Iowa,15,2934234,2002
Kansas,16,2713535,2002
Kentucky,17,4089875,2002
Louisiana,18,4497267,2002
Maine,19,1295960,2002
Maryland,20,5440389,2002
Massachusetts,21,6417206,2002
Michigan,22,10015710,2002
Minnesota,23,5018935,2002
Mississippi,24,2858681,2002
Missouri,25,5674825,2002
Montana,26,911667,2002
Nebraska,27,1728292,2002
Nevada,28,2173791,2002
New Hampshire,29,1269089,2002
New Jersey,30,8552643,2002
New Mexico,31,1855309,2002
New York,32,19137800,2002
North Carolina,33,8326200,2002
North Dakota,34,638168,2002
Ohio,35,11407889,2002
Oklahoma,36,3489080,2002
Oregon,37,3513424,2002
Pennsylvania,38,12331031,2002
Rhode Island,39,1065995,2002
South Carolina,40,4107795,2002
South Dakota,41,760020,2002
Tennessee,42,5795918,2002
Texas,43,21690325,2002
Utah,44,2324815,2002
Vermont,45,615442,2002
Virginia,46,7286873,2002
Washington,47,6052349,2002
West Virginia,48,1805414,2002
Wisconsin,49,5445162,2002
Wyoming,50,500017,2002
Alabama,0,4503491,2003
Alaska,1,648414,2003
Arizona,2,5510364,2003
Arkansas,3,2724816,2003
California,4,35253159,2003
Colorado,5,4528732,2003
Connecticut,6,3484336,2003
Delaware,7,818003,2003
District of Columbia,8,568502,2003
Florida,9,17004085,2003
Georgia,10,8622793,2003
Hawaii,11,1251154,2003
Idaho,12,1363380,2003
Illinois,13,12556006,2003
Indiana,14,6196638,2003
Iowa,15,2941999,2003
Kansas,16,2723004,2003
Kentucky,17,4117170,2003
Louisiana,18,4521042,2003
Maine,19,1306513,2003
Maryland,20,5496269,2003
Massachusetts,21,6422565,2003
Michigan,22,10041152,2003
Minnesota,23,5053572,2003
Mississippi,24,2868312,2003
Missouri,25,5709403,2003
Montana,26,919630,2003
Nebraska,27,1738643,2003
Nevada,28,2248850,2003
New Hampshire,29,1279840,2003
New Jersey,30,8601402,2003
New Mexico,31,1877574,2003
New York,32,19175939,2003
North Carolina,33,8422501,2003
North Dakota,34,638817,2003
Ohio,35,11434788,2003
Oklahoma,36,3504892,2003
Oregon,37,3547376,2003
Pennsylvania,38,12374658,2003
Rhode Island,39,1071342,2003
South Carolina,40,4150296,2003
South Dakota,41,763729,2003
Tennessee,42,5847812,2003
Texas,43,22030931,2003
Utah,44,2360137,2003
Vermont,45,617858,2003
Virginia,46,7366977,2003
Washington,47,6104115,2003
West Virginia,48,1812295,2003
Wisconsin,49,5479203,2003
Wyoming,50,503453,2003
Alabama,0,4530729,2004
