Year,ST,Permissive,Restrictive,background checks,carrying a concealed weapon (ccw),castle doctrine,child access laws,dealer license,firearm sales restrictions,minimum age,open carry,permit to purchase,prohibited possessor,registration,safety training required,waiting period,Implement,Modify,Repeal,universl,permit,sentiment_score,HuntLic,GunsAmmo,BackChk,avg_own_est,Suicides,Homicides
2012.0,CA,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.9945594966411591,0.150334464,-1.385960469,-1.181694977,0.2720075656666667,3.99,3.5
2013.0,CA,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.976720412572225,0.145863724,-1.4348353329999999,-1.148382111,0.235708797,3.9599999999999995,3.35
2014.0,CA,0.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,0.9454389810562134,0.146260652,-1.477369406,-1.025822926,0.187158672,3.9,3.14
2015.0,CA,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.9912254214286804,0.145829198,-1.508137086,-1.155857493,0.235507313,3.78,3.52
2016.0,CA,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.9869453459978104,0.160670983,-1.473129582,-0.898778235,0.2134341575,3.86,3.69
2019.0,CA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.9590319395065308,0.4675653624000001,0.3552380604,0.7951114521999999,0.5349462922,11.434000000000001,4.364
1993.0,CO,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.9950306216875712,0.337619691,0.33394913,0.284131427,0.4493198665,11.050000000000002,3.82
1994.0,CO,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.9885546863079071,0.321379755,0.27299844,0.284131427,0.470229772,9.86,3.33
1998.0,CO,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.9770532846450806,0.298953988,0.392318227,0.27350519119999994,0.365952397,8.2,2.62
2003.0,CO,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8392454981803894,0.293020681,0.324397278,0.304113956,0.395146628,8.18,2.5
2013.0,CO,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.8858089804649353,0.283346271,0.386873276,0.700286899,0.502715567,9.02,1.9899999999999998
2020.0,CO,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.6,0.4,0.9840790629386902,0.2914043244,-0.5171217904000001,-0.25674876440000005,0.34385549260000003,5.4,4.54
1993.0,CT,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.9650610685348511,0.208477715,-0.202645063,-0.9882260492,0.2525392165,4.47,4.53
1994.0,CT,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.9966527581214905,0.20987715700000004,-0.174565612,-0.9162791570000002,0.25648198,4.38,4.48
1995.0,CT,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,0.9103226661682129,0.210327996,-0.432083348,-1.1139875458,0.319065818,4.23,3.23
1998.0,CT,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.9876878559589386,0.203158816,-0.891303949,-1.1903373078000001,0.237468203,2.63,2.86
1999.0,CT,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.9954995512962341,0.201243007,-0.735252815,-1.144365729,0.153651657,3.25,2.62
2000.0,CT,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9972768425941467,0.199880601,-0.866331375,-1.692557192,0.226119667,3.23,1.93
2012.0,CT,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8973110914230347,0.190410676,-0.851575457,-0.772828132,0.21632307733333334,2.93,3.41
2013.0,CT,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,2.0,0.0,1.0,1.0,0.9755975504716238,0.184855438,-0.837602909,-0.756717929,0.24411260599999998,2.46,1.8999999999999997
2014.0,CT,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.9897500475247701,0.178247315,-0.804620344,-0.47712775,0.204234396,3.1199999999999997,1.67
2016.0,CT,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9744583368301392,0.188096983,-0.843627833,-0.439762876,0.2589959385,2.73,1.64
1994.0,DC,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.6,0.9986502528190613,0.22733621539999999,-0.6056453116,-0.636519159,0.35447316,7.4399999999999995,5.32
1998.0,DC,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.2,0.9770532846450806,0.4024329578,0.17262250579999996,-0.31867408659999996,0.41607671040000005,8.956,3.854
2008.0,DC,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.8945695161819458,0.48616620059999993,1.0642064742,1.2134338176,0.5280955965999999,9.698,2.7939999999999996
2009.0,DC,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.2,0.2,0.9564523696899414,0.3853572864,-0.1588439916,-0.3150226956,0.38784444990000005,6.837999999999999,2.966
2013.0,DC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9723289012908936,0.4540930996,0.09033198800000002,0.4840730583999999,0.45282793926666665,8.712,4.17
2015.0,DC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,0.2,0.9831724762916565,0.3444708538,-0.3207020692,-0.16852830480000006,0.4148332407,7.492,5.198
2017.0,DC,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9610615968704224,0.5002878798,0.6767705856,0.890278754,0.5775031485,10.576,6.378000000000001
2019.0,DC,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.6,0.4,0.7761008441448212,0.2914043244,-0.5171217904,-0.25674876440000005,0.34385549260000003,5.738,2.538
1992.0,DE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9981886744499207,0.230990898,-0.980388977,-0.6493145102,0.45330781810000004,6.01,1.58
1994.0,DE,0.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.9957665403683981,0.22793095500000002,-0.874216477,-0.6672814332000001,0.445274443,6.3,2.45
1998.0,DE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9770532846450806,0.207717149,-0.93479493,-0.8649898219999999,0.290894813,4.48,1.95
1999.0,DE,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9716748595237732,0.20177409,-0.662384276,-0.682000899,0.321388184,5.67,2.28
2007.0,DE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9961044788360596,0.174059084,-1.017960703,-0.849329004,0.270566356,5.0,3.55
2008.0,DE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6697035431861877,0.211428647,-1.085394047,-0.843169196,0.307587687,4.36,6.29
2013.0,DE,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.9962978959083557,0.200173933,-0.859887417,-0.604049783,0.373201505,5.94,4.3
2016.0,DE,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.9984418749809265,0.231977338,-0.676873538,-0.209438738,0.44064117950000004,5.87,4.91
